books named, Grammar Books, important materials, Gutenberg Project, Text Mining, English, English Grammar, unstructured data, Century English, Books
intelligence Computer, Generalized fuzzy, fuzzy, Medicine, Computer programs, surgery, Computer, decision, surgery intelligence, membership
Designed Adaptive, Hybrid PV-Wind, Power Smooth, Hybrid Energy-storage, Fuzzy Logic, Energy-storage System, HESS, Adaptive Fuzzy, Hybrid, Logic Controller
load management, load, fuzzy logic, helping utilities, fuzzy, demand-side load, electricity producers, buildings Participating, residential buildings, significant advantages
Car System, width modulation, Fuzzy Logic, Car, work proposed, Logic Technique, Fuzzy, pulse width, design anti-collision, Anti-Collision Car
robust Fuzzy, performing servo-tracking, fuzzy logic, paper presents, logic controller, fuzzy, Tank Reactor, intelligent fuzzy, rejection simultaneously, disturbance rejection
logic systems, intelligent environments, software packages, dedicated hardware, Fuzzy Logic, Logic, Fuzzy, Integrated Fuzzy, Microsoft Azure, managing intelligent
Steam temperature, oil extraction, fuzzy logic, paper presents, logic controller, ARMAX model, Steam, distillation essential, extraction process, steam distillation
system, logic traffic, fuzzy logic, traffic light, iterative solutions, requires extremely, accident, Detection System, accident detection, extremely complex
variable climate, hybrid MPPT, paper presents, MPPT based, conductance-fuzzy logic, Fuzzy Logic, logic algorithm, logic, incremental conductance, climate conditions
companies consumers, photovoltaic, output power, Fuzzy logic, controller design, distribution companies, renewable sources, MPPT, power point, power
primarily categorized, student life, fuzzy logic, include daily, Positioning System, health, logic system, traveling time, college student, daily chores
FLC, Fuzzy logic, power system, Single Area, Load Frequency, feeding consumers, interconnected power, generator unit, Area Networks, Area
logic, fuzzy logic, fuzzy, photovoltaic panels, equipments powered, number, powered, panels, paper, Controlling
stage three-phase, maximum power, irradiance conditions, PID controller, proposed intelligent, PID-Fuzzy logic, three-phase grid-connected, power point, point tracking, grid-connected inverter
Fuzzy Logic-Based, System, Smart Security, Security System, Abnormal Behavior, Behavior Detection, creating ambient, paper aims, ambient abnormal, pose estimation
system, manual, manual grading, image, expert person, proposed system, potatoes, size, grading, shape
Images act, based approach, low contrast, fuzzy logic, fields relating, major source, medical, major, major fields, enhance low
article introduces, Fuzzy Sets, Semantic Justification, q-Rung Orthopair, Complemental Fuzzy, intuitionistic fuzzy, Fuzzy, Orthopair Fuzzy, Sugeno intuitionistic, Sets
Rule Extraction, recently recognized, if-then rules, Fuzzy, membership function, Fuzzy Control, Extraction Possibility, Theory, Possibility Theory, potential foundational
critical challenges, increasing penetration, energy sources, Fuzzy Logic, Frequency Response, Fast Frequency, Response Based, Event-driven Fast, renewable energy, Logic Controller
industrial automation, cost involved, main disadvantage, Fuzzy logic, relevant importance, boolean, non-linear systems, Fuzzy controller, boolean relations, automation developments
contrast, cancer detection, fuzzy logic, fuzzy, contrast enhancement, breast cancer, mammograms Mammography, proposed method, Histogram equalization, Adaptive fuzzy
limited energy, Fuzzy logic, Zone based, Selection, Sensor, Heterogeneous Wireless, based Algorithm, Wireless Sensor, energy resources, sensor nodes
wireless sensor, monitoring targets, Logic Theory, Fuzzy Logic, sensor networks, Theory Data, Magnetic Sensor, WSN, Sensor Based, Data Fusion
technology called, stability improvement, Transient stability, transmission system, Fuzzy Logic, flexibly controlled, VAR Compensator, SVC, called Flexible, power transmission
panel Based, important part, Detecting faults, controlling electrical, Fuzzy Logic, Diagnosis, Based, Fault Detection, Classification Detecting, Real-Time implementation
fertile land, vital role, Crop Type, data plays, cultivation activities, Type Classification, planning cultivation, remote sensing, sensing data, optimal usage
migraine headache, system, LFE algorithm, LFE, migraine, fuzzy, fuzzy expert, expert system, recognition, LFE learning
maintenance prediction, Calculation, Fuzzy Logic, Health Index, Health, Logic, Fuzzy, Power Transformer, Power, Logic Approach
feedback path, path elements, fuzzy logic, Dual-axis solar, Light, Dependent Resistors, solar, Light Dependent, solar tracking, tracking system
specific case, radiation pattern, beamforming devices, spatial barrier, input variables, Fuzzy Logic, unmanned aerial, aerial vehicles, Antenna Complexes, real time
Fake Anger, Neural Network, Classifying Authentic, Fuzzy Logic, Understanding human, Network Understanding, Connected Neural, Fully Connected, machine learning, Anger Based
buried magnet, synchronous machines, PMSM, electrical rotor, fuzzy logic, flux control, Sensorless control, logic Direct, magnet PMSM, direct flux
wireless network, node, fuzzy logic, imperative aspect, wireless, Wi-Fi security, network, rogue node, Utilising fuzzy, improve Wi-Fi
Fuzzy-based Disease, Scheme based, Fuzzy Logic, patient disease, Disease, Logic, Inference Scheme, Disease Inference, Scheme, Rules Module
Renewable Heat, Fuzzy Logic, energy sources, Logic Simulation, complex greenhouses, Heat, automated control, Simulation Technics, Heat Supply, Fuzzy
PIDF, logic based, based PIDF, Fuzzy logic, array fed, proportional integral, PIDF controller, fed multilevel, conventional PIDF, integral derivative
Fruit, Maturity Classification, fruit depending, Fruit Maturity, Coconut Fruit, Fuzzy Logic, Logic, shell, Fuzzy, color
Mamdani Fuzzy, Automation System, Smart Meter, Shedding Automation, Fuzzy Logic, Load, electrical energy, Logic Method, household sector, Load Shedding
epidemic prevention, System, Management System, regular epidemic, reasonable ventilation, Fuzzy Logic, Ventilation, Laboratory Based, Ventilation Management, virus infection
logic, fuzzy logic, MATLAB SIMULINK, phase induction, critical components, induction motor, electrical faults, industrial processes, motor, fault
Branch Nodes, System, river runoffs, Flood Detection, Flood, Technology Floods, Logic-Based Flood, flood risk, Detection System, Lora Technology
education institution, Risk Assessment, Approach Fuzzy, Cisco, Firewall, Fuzzy Logic, generic threats, Logic, Fuzzy, Logic Approach
Technologies based, viable choices, logic controller, Fuzzy Logic, Logic, Performance Analysis, Logic Algorithm, System Technologies, dependable power, Photovoltaic System
Score Historical, Game, Character Recognition, Recognition Puzzle, puzzle pieces, Fuzzy Logic, Historical Character, Puzzle Educational, information technology, Educational Game
ICT, Technology, digital, Information Communication, Communication Technology, Energy, monitoring Information, Information, efficient IoT, Thing
Induction motor, stator, logic, fuzzy logic, fuzzy, motor condition, motor faults, increasingly important, motor, detection
Maximum Power, Power Point, System Output, Logic Control, Control Renewable, Renewable energy, Output Performance, Fuzzy Logic, Photovoltaic System, Point Tracking
Image enhancement, Image fusion, human viewers, source images, fuzzy logic, source, images, fusion, multimodality images, DWTon multimodality
vertical handoff, handoff algorithm, logic vertical, mobility management, fuzzy logic, important issues, heterogeneous wireless, motion trend, key issues, handoff
bundle branch, Adaptive Neuro-Fuzzy, Cardiovascular Conditions, Conditions, System ECG, ECG signals, Conditions Classification, Neuro-Fuzzy Inference, branch block, Inference System
fuzzy logic, object, fuzzy, interesting results, object tracking, active research, computer vision, object recognition, logic, target
obstacle avoidance, Logic technique, Fuzzy Logic, Logic controller, Logic, Mobile robot, Fuzzy, paper present, avoidance, avoidance approach
develop rapidly, Speculation Method, Context Speculation, Method Based, Fuzzy Logic, phone-based crowd-sensing, computing power, Logic Inference, strengthened greatly, Crowd-Sensing Process
Capacity Modeling, Memory Capacity, Working, learner working, Fuzzy Logic, Working Memory, WMC, Modeling Based, Memory, Logic Recently
Based Power, CUK, Fuzzy Logic, Power Factor, Logic, Factor Correction, CUK Converter, Factor, Converter Based, Logic Controller
Gate Array, Fuzzy Logic, Logic, industrial sector, sector requires, FPGA, Safety Fuzzy, Fuzzy, controller implemented, Logic Controller
Sliding Mode, Source, CSI, Current Source, Fuzzy Logic, Source Inverter, Grid-Connected Current, Inverter Photovoltaic, Mode Control, Photovoltaic System
TCSC, research paper, logic based, Outer Voltage, Control Loop, Voltage Control, Fuzzy Logic, Logic, paper investigate, Logic Controller
inverted pendulum, LQR, triple inverted, fuzzy logic, observer, achieving LQR, LQR gains, logic, intelligent tools, LQR controller
health service, service delivery, fuzzy logic, Graphical User, adaptive Graphical, health, public health, logic membership, User Interface, membership functions
Forensic, devices, forensic investigation, Approach Internet, Fuzzy Logic, Things, advance continuously, Internet, devices advance, Logic Approach
Expert system, diseases, Discus fish, fish, fuzzy logic, approach Discus, fish farmers, favourite fish, unique characteristic, logic approach
irradiation received, Fuzzy Logic, Maximum power, electrical energy, energy produced, Buck-Boost Converter, Logic Controller, Incremental Conductance, power, MPPT Fuzzy
measures variations, survey measures, subsurface rocks, Gravity survey, Gravity, Earth gravitational, gravitational field, field arising, airborne gravity, Earth
drilling, Fuzzy logic, logic controller, logic based, labor involvement, controller design, drilling operation, Fuzzy, logic, intelligent drilling
Nonstrict-Feedback Systems, Dynamic Scaling, unknown nonlinearities, Output Feedback, Adaptive Fuzzy, Feedback Control, Scaling Adaptive, Fuzzy Output, Systems, paper proposes
Hoc, Logic Reinforcement, UAV, Fuzzy Logic, unmanned aerial, peoples life, aerial vehicles, Hoc Networks, UAV nodes, Routing Algorithm
possesses advantageous, aerospace application, fuzzy logic, reluctance motor, switched, neutral network, artificial neutral, electric vehicle, motor, switched reluctance
motor Switched, chopping control, Current chopping, magnetic circuit, unique structure, industrial development, reluctance motor, problem due, torque ripple, switched reluctance
multiconverter electronic, constant power, Fuzzy logic, logic controller, load, CPL, buck converter, electronic power, power, power load
Mamdani Fuzzy, car braking, Control Car, system, Logic Control, Fuzzy Logic, car, Logic, braking system, Fuzzy
RNA-seq Data, generation sequencing, Fuzzy Logic, sequencing generates, Transcriptome profiling, specific stimuli, Mining Transcriptome, samples exposed, Data, Mining
Traditional rehabilitation, aplenty downfalls, Fuzzy logic, arm exoskeleton, upper arm, time consuming, logic techniques, techniques Traditional, Traditional, rehabilitation suffers
System Existing, based Interval, Time Series, Interval Type, Fuzzy Logic, Time, Fuzzy, Logic System, Series Based, series prediction
fuzzy logic, fuzzy, teaching experience, Specific E-learning, E-learning system, Instructor teaching, Instructional style, essential factor, Optimum Instructional, INST
System, Robot System, Goods Carrier, Robot, Goods, Fuzzy Logic, Logic Control, Carrier Robot, Control Mamdani, Automatic Goods
