English Grammar Books, English, English words, Century English grammar, Gutenberg Project, Grammar Books, English learning, Century English, named English, books named, Grammar, books named English
Intelligent Systems Laboratory, Fuzzy Logic Control, Fuzzy Logic, Application of Linguistic, sensitive technological processes, modern numerical methods, Linguistic Fuzzy-Logic Control, technological processes, sensitive non-linear technological, paper presents, Logic Control, sampling period
Machine Learning, Financial, Risk, leveraging a synergistic, machine learning techniques, paper proposes, Fuzzy Logic, Enhanced Decision Support, advanced framework, synergistic blend, proposes an advanced, Financial Risk Assessment
Functioning of Main, affects the environmental, including ice formation, ice formation, main pipelines passing, permafrost zone, requirements for materials, Main Pipeline, Fuzzy Logic Methods, Siberia trunk gas, zone are affected, affecting the process
Risk of Shipwreck, logic approach, Logic Based Approach, Fuzzy Logic, Yangtze River, Obstruction Risk, effectively prevent accidents, Logic Based, prevent accidents caused, Fuzzy Logic Based, Navigation Obstruction Risk, fuzzy logic approach
point the state, avoidance of static, robot path finding, paper we present, closed system, camera to pin, Fuzzy logic algorithms, working environment, static and dynamic, Fuzzy logic, pin point, mobile robot operates
radar, fuzzy logic control, logic control approach, single radar sensor, High accuracy three-dimensional, radar sensor design, sensor, sensor design, sensor design based, design based, reduction in terms, radar sensor
Controller Implementation, Dynamic Voltage, Proportional Integral, Proportional, adaptive Proportional integral, Proportional Integral controller, Voltage Restorer DVRs, Implementation on Dynamic, Restorer DVRs, Restorer DVRs commonly, Dynamic Voltage Restorer, Integral controller
Fuzzy logic control, speed of rotation, fuzzy system control, electromagnetic converter, Sun tracking, electromechanical gear, logic control, rolling rotor, Sun tracking systems, advantage of low, type of electromagnetic, converter with rolling
logic adaptation mechanism, fuzzy logic controllers, fuzzy logic adaptation, field oriented control, sensorless direct field, mechanism based sensorless, direct field oriented, prove the robustness, adaptation mechanism based, fuzzy sensorless direct, field oriented, direct field
real-life problem, Fuzzy Logic Application, Application in Automation, fuzzy logic control, Automation Control, Fuzzy Logic, logic control, aims to investigate, Intelligence in solving, apply Artificial Intelligence, paper aims, apply Artificial
antenna array elements, antenna array radiation, synthesis by varying, Antenna array, Side Lobe Level, Antenna, array synthesis, fuzzy logic controller, Tsukamoto fuzzy logic, fuzzy logic, implementing non-uniform amplitude, Antenna array synthesis
based MPPT, Fuzzy logic controller, Simulink This paper, point tracking, power point tracking, logic controller based, increases the voltage, Design and Simulation, Matlab Simulink, Fuzzy logic, controller based MPPT, maximum power point
Tuning Fuzzy Logic, Wind Energy, point tracking algorithm, power point tracking, Dimensional Adaptive Tuning, Wind Energy Conversion, wind power system, Energy Conversion System, Adaptive Tuning Fuzzy, showed the superiority, wind turbines power, maximum power point
minimize the movement, Story Elevator, Control System, System Existing, Fuzzy Logic, Elevator Control System, Control System Existing, Elevator, System Existing elevators, Story Elevator Control, elevator system, elevator operating system
domain, contrast enhancement, level transformation function, contrast, interpolation, intensity level transformation, important issue, pixel intensity, Image, intensity level, spatial domain, intensity
permanent magnet synchronous, possibilities of large, output speed variation, current variation, magnet synchronous machines, factor and quick, magnet synchronous, fuzzy logic controller, fuzzy logic, permanent magnet, signal wave forms, improved signal wave
Boost Converter, Logic Based Quadratic, advanced power electronic, power electronic circuit, Fuzzy logic controller, Based Quadratic Boost, Quadratic Boost Converter, Fuzzy Logic, require higher voltage, Logic Based, designed to adapt, Fuzzy Logic Based
Pneumatic Artificial Muscles, Observer Based, Nonlinear Disturbance Observer, validate the proposed, possesses lots, Fuzzy Logic Control, Fuzzy Logic, Disturbance Observer Based, type of actuator, enhance the robustness, Artificial Muscles, analyze the stability
Plans Combining Fuzzy, Injection Plans Combining, Polymer Flooding Injection, Polymer Flooding, Intelligent Decision System, water injection methods, Decision System, Combining Fuzzy Logic, ultra-high water cut, oilfield development enters, Flooding Injection Plans, reduce the complexity
TSK fuzzy system, TSK FLS method, TSK fuzzy logic, logic system method, WOA optimization algorithm, FLS method based, Fuzzy Logic System, TSK FLS, TSK fuzzy, TSK, Wind Power Prediction, improve the predictive
DNA, demonstrate the performance, autonomous device, integral part, Decision-Making Systems, Systems, Decision-Making Systems Decision-making, Systems Decision-making, Decision-Making, DNA Implementation, Fuzzy Inference, Fuzzy Inference Engine
points to improve, performance of trajectory, robust controller design, paper deals, effective approach, variable sampling, MSC Adams, trajectory points, Trajectory tracking, fuzzy logic controller, controller design based, fuzzy logic
fruit, maturity, Application of fuzzy, tomato crop, stage, great importance, tomato fruit, Solanum, tomato, Solanum lycopersicum, smart farming, tomato fruit maturity
Logic for Secure, Secure-aware Fuzzy-based Handover, Cellular Networks, Wireless Cellular, Fuzzy Logic, Handover, Secure Handover, Wireless Cellular Networks, Fuzzy-based Handover System, Handover in Wireless, Wireless, Secure
surgery intelligence, Computer, intelligence, surgery, Medicine, fuzzy, decision, acceptable in Medicine, Generalized fuzzy, Computer programs, intelligence Computer programs, surgery intelligence Computer
Designed Adaptive Fuzzy, Adaptive Fuzzy, Hybrid PV-Wind Microgrid, redox flow battery, Fuzzy Logic, HESS, Adaptive Fuzzy Logic, vanadium redox flow, investigate the effects, Hybrid Energy-storage System, Fuzzy Logic Controller, Hybrid PV-Wind
Participating in demand, buildings Participating, demand-side load management, high electricity prices, peak load curtailment, saving on high, residential buildings Participating, households to decrease, management in residential, residential buildings, fuzzy logic, load
proposed to design, work proposed, Fuzzy Logic Technique, pulse width modulation, System using Fuzzy, Fuzzy Logic, collision using fuzzy, Anti-Collision Car System, Car System, detect the relative, measure the distance, design anti-collision car
disturbance rejection simultaneously, advanced process control, Stirred Tank Reactor, extends the concepts, intelligent fuzzy logic, intelligent fuzzy controller, rejection simultaneously, paper presents, fuzzy logic controller, Continuous Stirred Tank, fuzzy logic, robust Fuzzy logic
fuzzy logic systems, Fuzzy, Simpful Mobile applications, mobile fuzzy logic, Fuzzy Logic, Integrated Fuzzy Logic, managing intelligent environments, Microsoft Azure, software packages, logic systems, area of human-centered, Logic
Steam, avoid the degradation, steam distillation essential, Steam temperature control, essential oil extraction, oil extraction process, Steam temperature, ARMAX model structure, fuzzy logic controller, fuzzy logic, steam distillation, distillation essential oil
explain the main, proposed Hybrid system, Detection System, Intelligent Traffic light, fuzzy logic traffic, action Traffic congestion, logic traffic light, traffic light integrated, requires extremely complex, demonstrates the main, Accident Detection System, light integrated system
algorithm for photovoltaic, variable climate conditions, incremental conductance, logic algorithm, conditions This paper, Fuzzy Logic, incremental conductance-fuzzy logic, conductance-fuzzy logic algorithm, conductance-fuzzy logic, paper presents, hybrid MPPT composed, climate conditions
companies consumers, distribution companies consumers, MPPT, power, maximize the efficiency, widely in industry, industry and distribution, irradiation and surface, photovoltaic system Photovoltaic, photovoltaic, distribution companies, renewable sources
Global Positioning System, analyze a student, college student life, recommendations and suggestions, student life, primarily categorized, chores and traveling, fuzzy logic system, include daily, traveling time, fuzzy logic, include daily chores
Frequency Control based, Load Frequency Control, single input FLC, Single Area Networks, Single Area, fuzzy logic control, power system, Networks In interconnected, interconnected power system, Area Networks, Fuzzy logic, Load Frequency
Controlling the number, equipments powered, photovoltaic, number of equipments, Controlling, fuzzy logic software, powered, number, equipments, fuzzy logic, photovoltaic panels, powered from photovoltaic
single stage three-phase, three-phase grid-connected photovoltaic, power point tracking, stage three-phase photovoltaic, grid-connected photovoltaic inverter, overshooting and stability, intelligent control based, PID controller, photovoltaic grid-connected inverter, show the advantages, three-phase photovoltaic grid-connected, maximum power point
creating ambient abnormal, ambient abnormal behavior, ambient abnormal, Smart Security, real-time human pose, PoseNet for Smart, Abnormal Behavior Detection, Fuzzy Logic-Based System, behavior detection systems, Abnormal Behavior, Smart Security System, human pose estimation
