data and structured information, books named English, Books, Gutenberg Project, Grammar, grammar books are important, Century English grammar books, materials for English learning, important materials, unstructured data and structured, order to systematically analyze, themes and trends
closed system, generated by Fuzzy logic, pin point the state, Fuzzy logic algorithms, paper we present detection, robot path finding, camera to pin, avoidance of static, Fuzzy, static and dynamic, mapping the working environment, mobile robot
fuzzy logic control approach, speed, control approach A radar, error between the measured, design based on fuzzy, radar, Doppler effect, single radar sensor, radar sensor design based, High, reduction in terms, High accuracy three-dimensional radar
Restorer, Implementation on Dynamic Voltage, adjusted to any operating, Proportional Integral controller, Dynamic, Fuzzy Logic, Voltage, Controller Implementation, Integral, fact that the required, order to get adjusted, Voltage Restorer DVRs commonly
logic control are presented, control of angular velocity, advantage of low, Fuzzy logic control, Sun tracking systems, main advantage, low speed, rotor and the stator, electromagnetic converter with rolling, stator rotating magnetic field, paper presents a fuzzy, speed of rotation
based Luenberger observer, low speeds, FDFOC, mechanism based sensorless direct, fuzzy logic adaptation mechanism, control and fuzzy logic, field oriented control, induction motor performance, systems performance FDFOC, field, sensorless direct field oriented, prove the robustness
fuzzy logic control, Logic Application in Automation, speed, vehicle, investigate and apply Artificial, apply Artificial Intelligence, FLC, solving a real-life problem, Logic, throttle, Automation Control This paper, paper aims
Antenna array synthesis, Tsukamoto fuzzy logic controller, array, scheme of Antenna array, array synthesis by varying, implementing non-uniform amplitude, non-uniform amplitude using Tsukamoto, Side Lobe Level, controller This paper deals, amplitude, obtained at the output, Tsukamoto
MPPT, Design and Simulation, increases the voltage, Simulink, module, Simulink This paper presents, maximum power point tracking, system, logic, logic controller based MPPT, Simulation of Fuzzy logic, system ’s maximum power
Energy, Wind, voltage and frequency loops, maximum power, Adaptive Tuning Fuzzy Logic, Monitoring of Wind Energy, Dimensional Adaptive Tuning, results showed the superiority, Wind Energy Conversion System, power point tracking algorithm, considered an important point, Fuzzy Logic Controller
minimize the movement, direct response, Control System Existing elevators, Story, Story Elevator Control System, wide variety of methods, received by first checking, Fuzzy Logic, System, Elevator, PLC, PLC Outseal Mega
fuzzy logic based interpolation, important issue, based interpolation method Contrast, intensity level transformation function, level, issue of image processing, method, Image, function, pixel intensity, contrast enhancement, spatial domain
obtaining of improved signal, fuzzy logic, part of the control, factor and quick, control with artificial intelligence, exterior permanent magnet, synchronous machines The fuzzy, implies obtaining, improved signal wave forms, output speed variation, possibilities of large, permanent magnet synchronous machines
electronic circuit that belongs, Based, require higher voltage, Based Quadratic Boost Converter, application which require higher, Fuzzy, Boost, family of DC-DC, Fuzzy Logic Based Quadratic, designed to adapt, logic controller, advanced power electronic circuit
Pneumatic Artificial Muscles, Nonlinear Disturbance Observer Based, Fuzzy Logic Control, precision trajectory tracking control, Observer Based T-S Fuzzy, type of actuator, rehabilitation engineering, enhance the robustness, lots of superior characteristics, make it extensively, robotics field, possesses lots of superior
Intelligent Decision System, late stage of ultra-high, Fuzzy Logic and Genetic, Plans Combining Fuzzy Logic, ultra-high water cut, Flooding Injection Plans Combining, improve oil recovery due, Polymer Flooding, oilfield development enters, traditional layered water injection, reduce the complexity, enters the late stage
TSK, TSK fuzzy logic system, FLS method based, study proposes an optimized, Interval, WOA optimization algorithm, logic system method, Application of WOA-based Interval, improve the predictive, short-term wind power, Prediction This study proposes, FLS
integral part, gates, autonomous device, DNA Decision-Making Systems Decision-making, Engine, Fuzzy, DNA, Fuzzy Inference Engine, DNA Implementation of Fuzzy, represented by the concentration, demonstrate the performance, systems are an integral
paper deals, performance of trajectory tracking, robust controller design based, effective approach, trajectory points to improve, tracking, tracking with variable sampling, variable sampling of trajectory, MSC Adams, selected mechatronic system, fuzzy logic controller, sampling using fuzzy logic
color, world, smart farming, Application of fuzzy logic, stage, fruit, farming The tomato crop, Tomato color maturity, tomato, Solanum lycopersicum, recognition, great importance
Application of Fuzzy Logic, Secure Handover in Wireless, Cellular Networks Several schemes, Wireless Cellular Networks, Fuzzy Logic for Secure, Secure-aware Fuzzy-based Handover, simplified models and assumptions, Handover, Fuzzy, Secure, Logic, handover criteria information
programs, Computer, Generalized fuzzy, acceptable in Medicine, membership, surgery intelligence Computer programs, surgery, logic, fuzzy, decision, studied, programs are now acceptable
vanadium redox flow battery, Power Smooth, System with a Designed, HESS, Hybrid, design of an AFLC, Hybrid Energy-storage System, studied hybrid wind-PV, Logic Controller This paper, Microgrid Using a Hybrid, Adaptive Fuzzy Logic Controller, Hybrid PV-Wind Microgrid
saving on high electricity, demand-side load management, response has significant advantages, fuzzy logic, helping utilities in peak, Participating in demand response, load, electricity producers, households to decrease, residential buildings Participating, logic for demand-side load, management in residential buildings
collision using fuzzy logic, detect the relative humidity, Fuzzy Logic Technique, Car, Fuzzy, measure the distance, design anti-collision car system, pulse width modulation, work proposed to design, system that could predict, System, Technique This work proposed
directions by performing servo-tracking, Real-time implementation, disturbance rejection simultaneously, robust Fuzzy logic controller, intelligent fuzzy logic, performing servo-tracking and disturbance, logic, advanced process control, concepts of advanced process, Level loop, fuzzy, Continuous Stirred Tank Reactor
effectiveness in managing intelligent, hardware and software packages, managing intelligent environments, Logic System under Microsoft, Microsoft Azure, Fuzzy, Integrated Fuzzy Logic System, Azure using Simpful Mobile, Logic, exhibited their effectiveness, dedicated hardware, area of human-centered applications
temperature in steam distillation, presents a fuzzy logic, distillation for the extraction, Steam, Steam temperature control, ARMAX model structure, essential oil extraction process, extraction process This paper, FLC, logic, controller considering the test, fuzzy logic controller
dynamic fuzzy logic traffic, integrated system with accident, problem that requires extremely, extremely complex, proposed Dynamic Webster, traffic, demonstrates the main, complex and iterative solutions, system, Accident Detection System, logic traffic light integrated, explain the main parts
MPPT, logic algorithm for photovoltaic, track maximum power point, climate conditions This paper, paper presents a hybrid, photovoltaic system under variable, Fuzzy Logic, MPPT based on incremental, incremental conductance-fuzzy logic algorithm, ensure fast MPPT process, hybrid MPPT composed, variable climate
