named English, books named English, Century English, English learning, Grammar, Century English grammar, books named, Grammar Books, English, Gutenberg Project, English words, English Grammar Books
time-varying system based, inference, modeling method based, modeling, inference modeling method, Fuzzy inference modeling, Fuzzy inference, method based, based, Fuzzy, fuzzy system, system based
apply Edge computing, Olfactory Display, Edge Computing, video game project, Edge, olfactory display efficiency, Fuzzy Logic, logic control software, incorporates smell generated, fuzzy logic control, video game computer, Video Game
inference systems based, Audio-visual Quality, Quality, Interpretable Fuzzy Logic, inference based system, assessment is presented, Parametric Audio-visual Quality, Based on Interpretable, Audio-visual Quality Measurement, Quality Measurement Based, Measurement Based, fuzzy inference based
edge, image processing systems, edge detector simplifies, face recognition system, training phase, edge detector, phase in pattern, fuzzy edge, edge detector method, fuzzy edge detector, networks Edge detection, neural networks Edge
array radar technology, Scheduling Algorithm Based, array radar based, phased array, Task Scheduling, phased array radar, Fuzzy Logic, Task Scheduling Algorithm, array radar, order to adapt, Fuzzy Logic Priority, Algorithm Based
X-band Doppler weather, affects the quantitative, non-meteorological factors, measurements of reflectivity, Fuzzy Logic Algorithm, Ground Clutter, Radar echoes detected, Identification and Removal, Fuzzy Logic, Doppler weather, Logic Algorithm Radar, X-band Doppler
fuzzy logic controller, axes including, reliability and proves, fuzzy logic, self-scaling procedure, regulation is proposed, anti-swing regulation, Self-scaling laboratory crane, precision and reliability, crane fuzzy logic, adaptive fuzzy logic, laboratory crane fuzzy
line, Aging Risk, transmission line, run for decades, Fuzzy logic, Aging Risk Assessment, lead to overload, Risk Assessment based, fuzzy logic algorithm, overhead transmission line, decades may lead, ensure overhead transmission
Earth Fault Detection, Classification This paper, Fuzzy Logic Based, Detection and Classification, Earth Fault, paper presents, transmission network, Based Scheme, Fuzzy Logic, Directional Earth Fault, Logic Based, Logic Based Scheme
Detecting DDoS, part and parcel, cloud computing, cloud computing environment, Detecting, environment, environment by Detecting, cloud, Enhancing secure cloud, attack, Detecting DDoS attack, daily life
Intelligent Control Based, Permanent Magnet, Magnet Synchronous Machine, Permanent Magnet Synchronous, speed control, Control Based, Fuzzy Logic, Adaptative Fuzzy Logic, number of revolutions, Magnet Synchronous, regulate the number, Based on Adaptative
fuzzy logic controller, pitch angle control, Pitch Angle Fuzzy, turbine fed, pitch angle, fuzzy logic, wind turbine fed, angle, turbine fed induction, Angle Fuzzy Logic, fed induction generator, fed induction
inverted pendulum system, major objective, Rotary Inverted, order to create, upright position, Rotary, Real-time Control, Fuzzy Logic, Pendulum, Rotary Inverted Pendulum, pendulum system, Control
upper extremity impairments, Fuzzy Logic Controller, Wheelchair mounted robotic, mounted robotic arms, Robotic Arm, Two-link Robotic Arm, Fuzzy Logic, individuals with physical, Fuzzy Logic Wheelchair, improving independent living, individuals with upper, Logic Wheelchair mounted
Enhanced Trajectory Tracking, Fuzzy Logic Controller, Enhanced Trajectory, position PID controller, Tracking Accuracy, Trajectory Tracking Accuracy, Fuzzy Logic, Optimized Fuzzy Logic, Genetic based Optimized, industrial automation, based Optimized Fuzzy, Trajectory Tracking
engine state, fuzzy inference technology, Logic In order, engine state monitoring, Method Based, Fuzzy Logic, monitoring engine state, state monitoring aiming, state monitoring, Monitoring Method Based, fuzzy inference, Vibration Monitoring Method
Aerospace Application, Application The paper, Logic, Cuk Converter, Aerospace, Controller, Cuk, Fuzzy Logic Controller, proposed fuzzy logic, Fuzzy Logic, Fuzzy, Converter
Time, fuzzy models, improvements of prediction, intuitionistic fuzzy logic, fuzzy, series, Time series, logic systems Conventional, Conventional fuzzy time, models, systems Conventional fuzzy, Conventional
fuzzy logic controller, microcontroller Today, industrial applications, robotic and industrial, AVR Atmegalô microcontroller, fuzzy logic, electric motors, high control quality, controller, inexpensive microcontroller Today, types of electric, high control
battery parameters, electric and hybrid-electric, hybrid-electric vehicles, fuzzy logic, battery management system, management system, fuzzy logic system, Li-Po batteries based, component of electric, BMS, logic system, important component
Based Static VAR, efficient grid interface, VAR Compensator, Fuzzy Logic, Logic Based Static, Static VAR, VAR, Static VAR Compensator, Fuzzy Logic Based, design Induction Generator, Logic Based, Wind Farm
fuzzy logic systems, fuzzy logic, first-order Single-Input Single-Output, noisy circumstances, presents the methods, methods of integrating, Single-Input Single-Output, prior knowledge monotonicity, integrating prior knowledge, logic systems, prior knowledge, paper presents
Algorithm for Low, Electric, play major role, recently electric vehicles, Fuzzy Logic Algorithm, Fuzzy Logic controller, BLDC motor, Fuzzy Logic, Low Cost Electric, day increase, electric vehicles play, vehicles play major
priority, support in Diff-Serv, logic-based decision algorithm, decision algorithm, priority queue, queue scheduling approach, fuzzy logic-based decision, queue, queue priority, scheduling, Diff-Serv networks, queue scheduling
light control, logic traffic light, traffic light, CMOS design, reconfigurable fuzzy logic, CMOS, fuzzy logic traffic, digital CMOS implementation, digital CMOS, Intricacies in digital, traffic light control, procedure of CMOS
Boost Converter, active clamp-coupled inductor-based, Quadratic Boost, Fuzzy Logic Controller, Quadratic, Soft-Switched Quadratic Boost, inductor-based soft-switched Quadratic, Fuzzy Logic, Boost, Quadratic Boost Converter, clamp-coupled inductor-based soft-switched, paper introduces
rail transit security, transit system operation, rail transit, rail transit system, urban rail transit, security region evaluation, Fuzzy logic based, security region, rail transit operating, transit operating system, transit security region, urban rail
Routing Mechanism Based, traffic scheduling algorithm, scheduling algorithm exploiting, Software Defined Networking, logic inference based, characteristics of separation, Defined Networking, Software Defined, Effective Routing, based on Software, Effective Routing Mechanism, Mechanism Based
Fuzzy direct, fuzzy direct controller, Based Fuzzy, Intelligence Based Fuzzy, Based Fuzzy Controller, direct controller design, Nonlinear Water Level, Level Tank Fuzzy, Swarm Intelligence Based, industry these days, Fuzzy, Water Level Tank
swarm robot, Formation, behavior-based for real, fuzzy logic, real robots, Fuzzy Logic Controller, real swarm, real swarm robot, design swarm formation, real, swarm formation control, paper presents
major issue, Increase Password Security, Identifier, Increase, Keystroke Identifier, Increase Password, Logic to Increase, Identifier Using Fuzzy, issue today, Fuzzy Logic, major issue today, Password Security Cybersecurity
Gestational Diabetes Mellitus, Fuzzy Logic Approach, glucose levels experienced, Risk Factors Gestational, heightened glucose levels, Diabetes Mellitus, health condition distinguished, Fuzzy Logic, Gestational Diabetes, Mellitus, Predicting Gestational Diabetes, Logic Approach
logic controller based, FLC, voltage, based DC-DC, Hybrid PI-fuzzy logic, converters, controller, converter DC-DC converters, controller based DC-DC, DC-DC converter DC-DC, based DC-DC converter, PI-fuzzy logic controller
method of fuzzy, Logic, Logic in Recruitment, Applications of Fuzzy, existing vacant position, Recruitment Systems, Fuzzy Logic, paper presents methods, Fuzzy, solving problems, Systems This paper, paper presents
acidity or alkalinity, present paper introduces, sensor using Fuzzy, fuzzy logic techniques, alkalinity in irrigation, reservoir irrigation water, Fuzzy Logic, irrigation water, introduces an innovative, Arduino Mega, innovative approach, logic techniques programmed
Real Time Traffic, Intersection in Manado, ANFIS The growth, Time Traffic Light, Teling Intersection, Fuzzy Logic, city of Manado, fast causing, level of congestion, real time time, Manado, Manado City
refrigeration Genetic, refrigeration Genetic algorithm, fuzzy logic controller, control, temperature control, fuzzy logic, fuzzy logic optimized, optimal problems, Genetic, designing fuzzy logic, logic optimized controller, Genetic algorithm
logic Traffic Actuated, actuated signal, Maximum green, traffic, green, actuated signal control, TAC, traffic actuated signal, Actuated Control, maximum green times, signal control, actuated
maximum power, stage conversion method, Solar Photo, single stage, Power Point Tracking, Solar Photo Voltaic, Photo Voltaic, Fuzzy Inference System, grid integration, Maximum Power Point, single stage conversion, Fizzy Logic Control
important role, elements, play an important, important, complemented, fuzzy, fuzzy lattices, lattice congruence relation, special elements, complemented elements, lattices, fuzzy lattice congruence
Wind Turbine Emulator, XSG tools Applied, axis wind turbine, applied wind profile, Fuzzy Logic Controller, Logic Controller Hardware, Variable Speed Wind, Fuzzy Logic, output profile quality, turbine emulator based, horizontal axis wind, Controller Hardware Implementation
Fuzzy Logic-Based Electrical, Cultivation Cultivation technology, Cultivation, fish cultivation, Electrical Conductivity Control, simultaneously manage fish, Conductivity Control System, Aquaponic Cultivation Cultivation, Logic-Based Electrical Conductivity, aquaponics cultivation, Cultivation Cultivation, manage fish cultivation
monitoring ornamental plants, presented the design, fuzzy logic, fuzzy logic method, Automation system, concept internet, controlling and monitoring, ornamental plants, connect directly, plants using fuzzy, embedded system, utilizes the concept
furnace air heaters, hot blast, air heaters sequential, Hot-Blast Stoves Unit, blast temperature difference, Fuzzy Logic, Stoves Unit, hot blast temperature, Time Adjustment, heaters sequential mode, Unit Using Fuzzy, time adjustment method
